bn,hi,te
"শিবনাথপণ্ডিত বিশ্রামগৃহে জলযোগ করিয়া নিশ্চিন্তমনে তামাক খাইতে লাগিলেন--ছেলেরা পরমাহ্লাদে আশুকে ঘিরিয়া """"গিন্নি গিন্নি"""" করিয়া চীৎকার করিতে লাগিল",शिवनाथ पंडित आरामगृह में नाश्ता करके निश्चिन्तता से तम्बाकू पीने लगे-- लड़के खूब मज़े से आशु को घेरकर 'गिन्‍नी' 'गिन्नी' करके चीखने लगे,"శివనాథ్ పండిట్ విశ్రాంతిగృహంలో అల్పాహారం చేసి నిర్విఘ్నంగా పొగ తాగే ప్రారంభించారు— అబ్బాయిలు ఆనందంగా ఆశును చుట్టుముట్టి ‘గిన్నీ’, ‘గిన్నీ’ అని అరవడం మొదలుపెట్టారు."
সেই ছুটির দিনের ছোটোবোনের সহিত খেলা জীবনের একটি সর্বপ্রধান লজ্জাজনক ভ্রম বলিয়া আশুর কাছে বোধ হইতে লাগিল,वह छुट्टी के दिन का छोटी बहिन के साथ खेलना आशु को जीवन का सबसे लज्जाजनक भ्रम लगने लगा,ఆ సెలవుదినం తన చెల్లెలితో ఆడుకున్నదాన్ని ఆశుకు జీవితంలోనే అత్యంత అవమానకరమైన మాయాభ్రమగా అనిపించసాగింది।
"পৃথিবীর লোক কোনোকালেও যে সেদিনের কথা ভুলিয়া যাইবে, এ তাহার মনে বিশ্বাস হইল না",धरती के लोग किसी भी समय उस दिन की बात भूल सकेंगे ऐसा उसे विश्वास नहीं हुआ,భూమి ప్రజలు ఆ రోజు మాట్లాడిన విషయం ఎప్పుడూ మరిచిపోవచ్చు అని అతనికి విశ్వాసం లేదు.
অমাবস্যার নিশীথ রাত্রি,अमावस्या की आधी रात थी,అమావాస్య రాత్రి అర్థరాత్రి సమయం అయ్యింది।
মৃত্যুঞ্জয় তান্ত্রিক মতে তাহাদের বহুকালের গৃহদেবতা জয়কালীর পূজায় বসিয়াছে,मृत्युंजय तांत्रिक मतानुसार अपनी प्राचीन देवी जयकाली की पूजा करने बैठा,మృత్యుంజయుడు తాంత్రిక సంప్రదాయం ప్రకారం తన ప్రాచీన దేవత అయిన జయకాలిని పూజించేందుకు కూర్చున్నాడు।
পূজা সমাধা করিয়া যখন উঠিল তখন নিকটস্থ আমবাগান হইতে প্রত্যুষের প্রথম কাক ডাকিল,पूजा समाप्त करके जब वह उठा तो निकटस्थ आम के बग़ीचे से प्रातःकाल का पहला कौआ बोला,పూజ ముగించుకుని అతడు లేచినప్పుడు పక్కనే ఉన్న మామిడి తోటలో నుంచి తెల్లవారుఝామున తొలి కాకి కరవేసింది।
"মৃত্যুঞ্জয় পশ্চাতে ফিরিয়া চাহিয়া দেখিল, মন্দিরের দ্বার রূদ্ধ রহিয়াছে","मृत्युंजय ने पीछे घूमकर देखा, मंदिर का द्वार बंद था","మృత్యుంజయుడు వెనక్కి తిరిగి చూశాడు, ఆలయ ద్వారం మూసివుండింది।"
তখন সে একবার দেবীর চরণতলে মস্তক ঠেকাইয়া তাঁহার আসন সরাইয়া দিল,तब उसने देवी के चरणों में एक बार माथा टेककर उनका आसन सरकाया,"అప్పుడతను అమ్మవారి పాదాలలో ఒకసారి మోకాలు వంచి నమస్కరించి, ఆమె ఆసనాన్ని పక్కకు జరిపాడు
"
সেই আসনের নীচে হইতে একটি কাঁঠালকাঠের বাক্স বাহির হইল,आसन के नीचे से कटहल के काठ का एक बक्स बाहर निकला,"ఆసనానికి క్రింద నుంచి పనస చెక్కతో చేసిన ఒక పెట్టె బయటకు వచ్చింది।
"
পৈতায় চাবি বাঁধা ছিল,जनेऊ में चाबी बँधी थी,జనేవులో తాళం కట్టబడి ఉండేది।
সেই চাবি লাগাইয়া মৃত্যুঞ্জয় বাক্সটি খুলিল,वह चाबी लगाकर मृत्युंजय ने बक्स खोला,ఆ తాళాన్ని తగలబెట్టి మృత్యుంజయుడు పెట్టెని తెరిచాడు।
খুলিবামাত্রই চমকিয়া উঠিয়া মাথায় করাঘাত করিল,खोलते ही चौंककर हाथ से माथा ठोंक लिया,తెరిచగానే ఆశ్చర్యపడి చేతితో తలతొక్కుకున్నాడు।
মৃত্যুঞ্জয়ের অন্দরের বাগান প্রাচীর দিয়া ঘেরা,मृत्युंजय का अंदर का बग़ीचा प्राचीर से घिरा था,మృత్యుంజయ్ యొక్క అంతర్గత తోట ప్రాచీర్‌తో చుట్టబడి ఉంది।
সেই বাগানের এক প্রান্তে বড়ো বড়ো গাছের ছায়ার অন্ধকারে এই ছোটো মন্দিরটি,उसी बाग़ के एक भाग में बड़े-बड़े पेड़ों की छाया के अंधकार में यह छोटा-सा मंदिर था,ఆ గార్డెన్ యొక్క ఒక భాగంలో పెద్ద పెద్ద చెట్ల నీడల్లో ఈ చిన్న దేవాలయం ఉండింది।
মন্দিরে জয়কালীর মূর্তিছাড়া আর-কিছুই নাই;,मंदिर में जयकाली की मूर्ति को छोड़कर और कुछ न था,దేవాలయంలో జయకాళి విగ్రహం తప్ప మరొకటి లేదు।
তাহার প্রবেশদ্বার একটিমাত্র,उसमें केवल एक प्रवेश-द्वार था,అందులో కేవలం ఒక ప్రవేశ ద్వారం మాత్రమే ఉంది।
মৃত্যুঞ্জয় বাক্সটি লইয়া অনেকক্ষণ নাড়াচাড়া করিয়া দেখিল,मुत्युंजय ने बक्स उठाकर बहुत देर तक हिला-डुलाकर देखा,"మృత్యుంజయుడు పెట్టెను తీసుకొని చాలా సేపు దాన్ని తిప్పి తిరగబట్టి చూశాడు.
"
মৃত্যুঞ্জয় বাক্সটি খুলিবার পূর্বে তাহা বন্ধই ছিল— কেহ তাহা ভাঙে নাই,मृत्युंजय के बक्स खोलने के पहले वह बंद ही था‒किसी ने उसे तोड़ा न था,మృత్యుంజయ్ బాక్స్ తీయకముందే అది మూసివేయబడింది—ఎవరూ దాన్ని దెబ్బతీయలేదు.
মৃত্যুঞ্জয় দশবার করিয়া প্রতিমার চারি দিকে ঘুরিয়া হাতড়াইয়া দেখিল— কিছুই পাইল না,मृत्युंजय ने कई बार प्रतिमा के चारों ओर चक्कर लगाकर टटोलकर देखा‒कुछ भी नहीं मिला,మృత్యుంజయ్ అనేకసార్లు విగ్రహం చుట్టూ తిరిగి తగిలించి చూసి పరిశీలించాడు—ఏమీ దొరకలేదు.
পাগলের মতো হইয়া মন্দিরের দ্বার খুলিয়া ফেলিল— তখন ভোরের আলো ফুটিতেছে,उन्मत्त होकर मंदिर का दरवाज़ा खोल दिया‒उस समय प्रभात की किरणें फूट रही थीं,ఉన్మత్తంగా మందిరానికి తలుపు తెరుస్తూ - ఆ సమయంలో ప్రభాత కిరణాలు విరివిగా చేరుతున్నాయి.
মন্দিরের চারি দিকে মৃত্যুঞ্জয় ঘুরিয়া ঘুরিয়া বৃথা আশ্বাসে খুঁজিয়া বেড়াইতে লাগিল,मंदिर के चारों ओर मृत्युंजय घूम-घूमकर व्यर्थ की आशा में खोजते हुए चक्कर लगाने लगा,మృత్యుంజయ్ ఆలయం చుట్టూ తిరిగి తిరిగి వృథా ఆశతో వెతుకుతూ తిరుగుతున్నాడు.
"সকালবেলাকার আলোক যখন পরিস্ফুট হইয়া উঠিল, তখন সে বাহিরের চন্ডীমন্ডপে আসিয়া মাথায় হাত দিয়া বসিয়া ভাবিতে লাগিল","प्रभातकालीन आलोक जब प्रस्फुटित हो उठा, तब वह बाहर के चंडीमंडप में आकर सिर पर हाथ रखे बैठकर सोचने लगा","ప్రభాతకాలంలో వెలుగు వెలుగుతగినప్పుడు, అతను బయట చండీ మండపంలోకి వచ్చి తలపై చేతులు పెట్టి కూర్చుని ఆలోచించసాగాడు"
"সমস্ত রাত্রি অনিদ্রার পর ক্লান্তশরীরে একটু তন্দ্রা আসিয়াছে, এমন সময়ে হঠাৎ চমকিয়া উঠিয়া শুনিল, “জয় হোক, বাবা""","सारी रात जागने के बाद श्रांतदेह को थोड़ी-सी झपकी आ गई, इसी समय हठात् चौंक पड़ा सुना, “जय हो बाबा","రాత్రంతా లేచి ఉన్న శరీరానికి కొద్దిగా నిద్ర వచ్చింది, ఆ సమయంలో అకస్మాత్తుగా దృష్టి తిప్పి, “జై హో బాబా” అని వినిపించింది"
সম্মুখে প্রাঙ্গণে এক জটাজূটধারী সন্ন্যাসী,प्रांगण में सामने एक जटाजूटधारी संन्यासी खड़े थे,ప్రాంగణం ముందు ఒక జటల మాల ధరించిన సంసారి నిలబడాడు.
মৃত্যুঞ্জয় ভক্তিভরে তাহাকে প্রণাম করিল,मृत्युंजय ने भक्ति-भाव से उनको प्रणाम किया,మృత్యుంజయుడు భక్తి భావంతో వారికి నమస్కారములు చెలాయించాడు
"সন্ন্যাসী তাহার মাথায় হাত দিয়া আশীর্বাদ করিয়া কহিলেন, “বাবা তুমি মনের মধ্যে বৃথা শোক করিতেছ""","संन्यासी ने उसके सिर पर हाथ रखकर आशीर्वाद देते हुए कहा, “बेटा, तुम मन में व्यर्थ शोक कर रहे हो""","సన్యాసి అతని తలపై చేతి పెట్టి ఆశీర్వదిస్తూ అన్నారు, “కుమారుడా, నువ్వు మనసులో అనవసరంగా దుఃఖిస్తున్నావు।”"
শুনিয়া মৃত্যুঞ্জয় আশ্চর্য হইয়া উঠিল,सुनकर मृत्युंजय को आश्चर्य हुआ,వింటే మృత్యుంజయ్ కి ఆశ్చర్యం కలిగింది।
"কহিল, “আপনি অন্তর্যামী, নহিলে আমার শোক কেমন করিয়া বুঝিলেন""","कहा, “आप अंतर्यामी हैं, नहीं तो मेरा शोक किस प्रकार जान लिया""","చెప్పాడు, ""మీరు అంతర్యామి, లేదంటే నా విషాదాన్ని ఎలా తెలుసుకున్నారు?"
আমি তো কাহাকেও কিছু বলি নাই,मैंने तो किसी से भी कुछ नहीं कहा,నేను ఎవరికీ ఏమీ చెప్పలేదు।
"সন্ন্যাসী কহিলেন, “বৎস,আমি বলিতেছি, তোমার যাহা হারাইয়াছে সেজন্য তুমি আনন্দ করো, শোক করিয়ো না","संन्यासी बोले, “वत्स, मैं कहता हूँ, तुम्हारा जो कुछ खो गया है, उसके लिए तुम आनंद मनाओ, शोक मत करो!”","సన్న్యాసి అన్నారు, ""వత్స, నేను చెప్పేది ఇదే, నీ కోల్పోయిన వాటికి సంతోషించు, దుఃఖించకు!"""
"মৃত্যুঞ্জয় তাঁহার দুই পা জড়াইয়া ধরিয়া কহিল, “ আপনি তবে তো সমস্তই জানিয়াছেন— কেমন করিয়া হারাইয়াছে,কোথায় গেলে ফিরিয়া পাইব, তাহা না বলিলে আমি আপনার চরণ ছাড়িব না""","मृत्युंजय ने उनके पैर पकड़कर कहा, “तब तो आप सभी-कुछ जान गए हैं‒किस तरह खो गया है, कहाँ जाकर फिर मिलेगा, यह जब तक न बताएँगे मैं आपके चरण नहीं छोड़ूंगा""","మృత్యుంజయ్ వారి పాదాలను పట్టుకుని చెప్పాడు,
""అంటే మీరు అన్ని విషయాలు తెలుసుకున్నారు — ఎలా కోల్పోయాను, ఎక్కడ వెళ్ళి మళ్ళీ దొరుకుతుందో, మీరు చెప్పే వరకు నేను మీ పాదాలు వదలను."""
"সন্ন্যাসী কহিলেন, “আমি যদি তোমার অমঙ্গল কামনা করিতাম তবে বলিতাম""","संन्यासी ने कहा, “मैं यदि तुम्हारी अमंगल कामना करता तो बताता""","సన్న్యాసి చెప్పాడు, “నేను నీకు అనర్థక కోరికలు కలిగిస్తే చెప్పేది.”"
"কিন্তু, ভগবতী দয়া করিয়া যাহা হরণ করিয়াছেন সেজন্য শোক করিয়ো না","किन्तु भगवती ने कृपा करके जो हर लिया है, उसके लिए शोक न करना!",కానీ భగవతి దయచేసి తీసుకెళ్లిన వాటి కోసం శోకించవద్దు!
মৃত্যুঞ্জয় সন্ন্যাসীকে প্রসন্ন করিবার জন্য সমস্তদিন বিবিধ উপচারে তাঁহার সেবা করিল,संन्यासी को प्रसन्न करने के लिए मृत्युंजय ने सारे दिन विविध प्रकार से उनकी सेवा की,సన్యాసిని సంతోషపరచడానికి మృత్యుజయ్ పూర్వదినం విభిన్న రకాలుగా ఆయన సేవ చేశాడు।
"পরদিন প্রত্যুষে নিজের গোহাল হইতে লোটা ভরিয়া সফেন দুগ্ধ দুহিয়া লইয়া আসিয়া দেখিল, সন্ন্যাসী নাই","दूसरे दिन प्रातः अपनी गौशाला से लोटा-भर फेनयुक्त दूध दुहकर लाने पर देखा, संन्यासी नहीं थे","రేపటి రోజు ఉదయాన్తం తన గోవిల్లు నుంచి ఒక గుడ్డ నిండిన రేగుబున్న పాలు దూహి తీసుకుని వచ్చి చూశాడు, సన్యాసి లేరు।"
"মৃত্যুঞ্জয় যখন শিশু ছিল, যখন তাহার পিতামহ হরিহর একদিন এই চণ্ডীমন্ডপে বসিয়া তামাক খাইতেছিল,তখন এমনি করিয়াই একটি সন্ন্যাসী ‘জয় হোক বাবা’ বলিয়া এই প্রাঙ্গণে আসিয়া দাঁড়াইয়াছিলেন","मृत्युंजय जब बच्चा था, जब उसके पितामह हरिहर एक दिन इसी चंडी-मंडप में बैठे हुक़्क़ा पी रहे थे, तब इसी तरह एक संन्यासी ‘जय हो बाबा’ कहते हुए इसी आँगन में आ खड़े हुए थे","మృత్యుంజయుడు పిల్లవాడు అయినప్పుడు, అతని తాత హరిహర్ ఒక రోజు ఇదే చండీమండపంలో కూర్చుని హుక్కా తూగుతుండగా, అలా ఒక సన్యాసి ‘జై హో బాబా’ అని అంటూ అదే ఆంగణంలో వచ్చి నిలబడినప్పుడు."
হরিহর সেই সন্ন্যাসীকে কয়েকদিন বাড়িতে রাখিয়া বিধিমত সেবার দ্বারা সন্তুষ্ট করিল,हरिहर ने उस संन्यासी को कई दिन घर में रखकर विधिपूर्वक सेवा द्वारा संतुष्ट किया था,హరిహర్ ఆ సన్యాసిని కొన్ని రోజులు ఇంట్లో ఉంచి విధిపూర్వకంగా సేవ చేయడంతో సంతృప్తి పరచాడు.
"বিদায়কালে সন্ন্যাসী যখন জিজ্ঞাসা করিলেন, “বৎস, তুমি কী চাও""","विदा के समय संन्यासी ने जब यह प्रश्न किया, “वत्स, तुम क्या चाहते हो","వీడ్కోలు సమయమున సన్యాసి అడిగారు,
""వత్స, నీవు ఏమి కోరుకుంటున్నావు?"""
"হরিহর কহিল, বাবা, যদি সন্তুষ্ট হইয়া থাকেন তবে আমার অবস্থাটা একবার শুনুন","हरिहर ने कहा, “बाबा, यदि संतुष्ट हुए हों तो एक बार मेरी हालत सुनें","హరిహర్ అన్నాడు,
""బాబా, మీరు సంతృప్తి అయితే నా పరిస్థితిని ఒకసారి వినండి."""
এককালে এই গ্রামে আমরা সকলের চেয়ে বর্ধিষ্ণু ছিলাম,एक समय इस गाँव में हम सबसे समृद्ध थे,ఒకప్పుడు ఈ గ్రామం అత్యంత ధనవంతమైనది.
আমার প্রপিতামহ দূর হইতে কুলীন আনাইয়া তাঁহার এক কন্যার বিবাহ দিয়াছিলেন,मेरे प्रपितामह ने दूर के एक कुलीन को बुलवाकर उससे अपनी एक कन्या का विवाह कर दिया था,"నా పెద్ద తాత దూరంలోని ఒక ప్రముఖ కుటుంబాన్ని పిలిపించి, వారి కొడుకుతో మా ఒక కూతురి వివాహం చేయించారు."
তাঁহার সেই দৌহিত্রবংশ আমাদিগকেই ফাঁকি দিয়া আজকাল এই গ্রামে বড়োলোক হইয়া উঠিয়াছে,उनके वह दौहिजवंशज ही हमको धोखा देकर आजकल इस गाँव में बड़े आदमी बन बैठे हैं,"వారి వారసత్వ హక్కు పొందిన వారు నన్ను మోసం చేసి, ఈ గ్రామంలో పెద్ద మనుషులుగా ఎదుగుతున్నారు."
"আমাদের এখন অবস্থা ভালো নয়, কাজেই ইহাদের অহংকার সহ্য করিয়া থাকি","इस समय हमारी अवस्था अच्छी नहीं है, इसी कारण उनका अहंकार सहते रहते हैं","ఈ సమయంలో మా పరిస్థితి బాగోలేదు, అందువల్ల వారి గర్వాన్ని మనం తట్టుకుంటున్నాము."
কিন্তু আর সহ্য হয় না,किन्तु अब और नहीं सहा जाता,కానీ ఇప్పుడు మరింత తట్టుకోలేము.
"কী করিলে আবার আমাদের বংশ বড়ো হইয়া উঠিবে সেই উপায় বলিয়া দিন, সেই আশীর্বাদ করুন","कैसे हमारा कुल फिर से बड़ा हो, यही उपाय बता दें, यही आशीर्वाद दें","ఎలా మా వంశం మళ్లీ గొప్పదిగా అవుతుంది, దానికి మార్గం చూపించండి, ఆ ఆశీర్వాదం ఇవ్వండి."
"সন্ন্যাসী ঈষৎ হাসিয়া কহিলেন, “বাবা, ছোটো হইয়া সুখে থাকো বড়ো হইবার চেষ্টায় শ্রেয় দেখি না""","” संन्यासी ने थोड़ा हँसकर कहा, “बेटा, छोटे होकर सुख से रहो, बड़े होने के प्रयत्न में मुझे भलाई नहीं दिखती""","”సన్న్యాసి తేలికపాటి నవ్వుతో అన్నాడు, “మగడు, చిన్నవిగా సంతోషంగా జీవించు, పెద్దవిగా అవ్వడానికి ప్రయత్నించడంలో నాకు మేలు కనపడదు.” 
"
"কিন্তু, হরিহর তবু ছাড়িল না,বংশকে বড়ো করিবার জন্য সে সমস্ত স্বীকার করিতে রাজি আছে",किन्तु हरिहर ने फिर भी नहीं छोड़ा; वंश को बड़ा करने के लिए वह सब-कुछ स्वीकार करने के लिए राज़ी था,కానీ హరిహర్ మాత్రం మానుకున్నాడు కాదు; వంశాన్ని పెద్దది చేయడానికి ఏదైనా చేసేందుకు అతను సిద్ధమైంది
তখন সন্ন্যাসী তাঁহার ঝুলি হইতে কাপড়ে-মোড়া একটি তুলট কাগজের লিখন বাহির করিলেন,तब संन्यासी ने अपनी झोली से कपड़े में लिपटा रुई से बने काग़ज पर लिखा एक लेख निकाला,అప్పుడు సంన్యాసి తన పోకలు నుంచి బట్టల్లో ముడివేసిన పత్తితో చేసిన కాగితం మీద ఒక పత్రం తీసుకొని వ్రాశాడు।
"কাগজখানি দীর্ঘ, কোষ্ঠীপত্রের মতো গুটানো","काग़ज़ लंबा था, जन्म-पत्री के समान लिपटा था","కాగితం పొడవుగా ఉండి, జన్మ పత్రం లా ముడివేయబడింది. 
"
সন্ন্যাসী সেটি মেজের উপর খুলিয়া ধরিলেন,संन्यासी ने उसको ज़मीन पर फैला दिया,సన్యాసి అతడిని నేలపై విస్తరించేశాడు
"হরিহর দেখিল,তাহাতে নানাপ্রকার চক্রে নানা সাংকেতিক চিহ্ন আঁকা- আর সকলের নিম্নে একটি প্রকাণ্ড ছড়া লেখা আছে তাহার আরম্ভটা এইরূপ— পায়ে ধরে সাধা","हरिहर ने देखा, उसमें बने नाना प्रकार के चक्रों में अनेक प्रकार के सांकेतिक चिह्न अंकित थे, और सबके नीचे एक लंबी तुकबंदी लिखी हुई थी, जिसका आरंभ इस प्रकार था‒ पाये धरे साधा","హరిహర చూశాడు, అందులోని వివిధ చక్రాలలో అనేక విధమైన సంకేత చిహ్నాలు నిక్షిప్తమయ్యాయి, మరియు అందరి కింద ఒక పొడవాటి తుకబంది రాసి ఉంది, దీని ప్రారంభం ఈ విధంగా ఉంది ‒ పైకి ధరించినది సాధా"
"হরিহর কহিল, “ বাবা, কিছুই তো বুঝিলাম না""","इत्यादि हरिहर ने कहा, “बाबा, मैं तो कुछ भी नहीं समझा""","ఇకపై, హరిహర్ అన్నాడు, “బాబా, నాకు ఏమీ అర్థం కాలేదు।”"
"সন্ন্যাসী কহিলেন, কাছে রাখিয়া দাও,দেবীর পূজা করো""","संन्यासी बोले, “पास रख लो, देवी की पूजा करो""","సన్న్యాసి చెప్పారు, ""ఇదన్ని నీ దగ్గర ఉంచుకో, దేవి పూజ చేయు."""
তাঁহার প্রসাদে তোমার বংশে কেহ না কেহ এই লিখন বুঝিতে পারিবে,उनके प्रसाद से तुम्हारे वंश में कोई-न-कोई इस लिखावट को समझ सकेगा,వారి ప్రసాదం ద్వారా మీ వంశంలో ఎవరో ఒకరు ఈ వ్రాతనుబోధించగలరు.
তখন সে এমন ঐশ্বর্য পাইবে জগতে যাহার তুলনা নাই,"उस समय वह इतना ऐश्वर्य पाएगा, जिसकी जग में तुलना नहीं","అప్పుడు అతను ఇంత వైభవం పొందుతాడు, ప్రపంచంలో దానికి సమానం ఉండదు."
"হরিহর মিনতি করিয়া কহিল, “ বাবা কি বুঝাইয়া দিবেন না""","हरिहर ने मिन्नत करके कहा, “बाबा, क्या समझा न देंगे""","హరిహరుడు దయచేసి అరిగిపోయి అన్నాడు, “బాబా, దాన్ని అర్థం చేసుకోవడానికి సహాయం చేస్తారా?”"
"সন্ন্যাসী কহিলেন, “না সাধনা দ্বারা বুঝিতে হইবে""","संन्यासी ने कहा, “नहीं, साधना द्वारा समझना होगा""","సన్యాసి అన్నాడు, “కాదు, సాధన ద్వారా అర్థం చేసుకోవాలి.”"
এমন সময় হরিহর ছোট ভাই শংকর আসিয়া উপস্থিত হইলো,इसी समय हरिहर का छोटा भाई शंकर आ पहुँचा,ఇప్పుడే ఆ సమయమే హరిహర్ చెల్లెలై శంకర్ వచ్చి చేరాడు।
তাহাকে দেখিয়া হরিহর তাড়াতাড়ি লিখনটি লুকাইবার চেষ্টা করিল,उसको देखकर हरिहर ने चटपट लेख छिपाने की चेष्टा की,అతన్ని చూసి హరిహర్ వెంటనే ఆ కాగితం దాచేందుకు ప్రయత్నించాడు।
"সন্ন্যাসী হাসিয়া কহিলেন, “বড়ো হইবার পথের দুঃখ এখন হইতেই শুরু হইল""","संन्यासी ने हँसकर कहा, “बड़े होने के रास्ते का दुःख अभी से शुरू हो गया""","సన్న్యాసి నవ్వుతూ చెప్పాడు, “పెరుగుదల మార్గంలో బాధలు ఇంతకుముందే మొదలయ్యాయి.”"
কিন্তু গোপন করিবার দরকার নাই,किन्तु छिपाने की आवश्यकता नहीं है,కానీ దాచుకోవాల్సిన అవసరం లేదు।
"কারণ, ইহার রহস্য কেবল একজনমাত্রই ভেদ করিতে পারিবে,","कारण, इसका रहस्य केवल एक ही व्यक्ति जान सकेगा","కారణం, దీని రహస్యం కేవలం ఒకరే తెలుసుకోగలడు।"
হাজার চেষ্টা করিলেও আর-কেহ তাহা পারিবে না,हज़ार प्रयत्न करने पर भी और कोई उसे नहीं जान पाएगा,వందల ప్రయత్నాలు చేసినా కూడా మరెవ్వరూ దీన్ని అర్థం చేసుకోలేరు।
"তোমাদের মধ্যে সেই লোকটি যে কে, তাহা কেহ জানে না","तुममें से वह व्यक्ति कौन है, यह कोई नहीं जानता",మీలో నుండి ఆ వ్యక్తి ఎవరో ఎవరికి తెలియదు.
অতএব ইহা সকলের সম্মূখেই নির্ভয়ে খুলিয়া রাখিতে পারো,अतएव इसे सबके सामने निर्भय खोलकर रख सकते हो,"కాబట్టి, దీన్ని అందరి ముందు భయపడకుండా తేలికగా చూపించవచ్చు."
সন্ন্যাসী চলিয়া গেলেন,संन्यासी चले गए,సన్యాసి వెళ్లిపోయారు
কিন্তু হরিহর এ কাগজটি লুকাইয়া না রাখিয়া থাকিতে পারিল না,किन्तु हरिहर उस काग़ज़ को छिपाकर रखे बिना न रह सका,కానీ హరిరాహ సొంత కాగితం దాచకుండా ఉండలేకపోయాడు.
"পাছে আর-কেহ ইহা হইতে লাভবান হয়, পাছে তাহার ছোটো ভাই শংকর ইহার ফলভোগ করিতে পারে, এই আশঙ্কায় হরিহর এই কাগজটি একটি কাঁঠালকাঠের বাক্সে বন্ধ করিয়া তাহাদের গৃহদেবতা জয়কালীর আসনতলে লুকাইয়া রাখিল","कहीं और कोई इससे लाभान्वित न हो जाए, कहीं उसका छोटा भाई शंकर इसका फल-भोग न कर ले, इसी आशंका से हरिहर ने इस काग़ज़ को कटहल के काठ के एक बक्स में बंद करके अपनी आराध्य देवी जयकाली के आसन के नीचे छिपा दिया था","""ఇదినుంచి ఇంకెవరికైనా లాభం కలగకూడదని, తన తమ్ముడు శంకర్ దీని ఫలితాన్ని అనుభవించకూడదని భయపడి, హరిహర్ ఆ కాగితాన్ని పనస చెక్కతో చేసిన పెట్టెలో పెట్టి, తన ఆరాధ్యదేవత అయిన జయకాలి ఆశనానికి కింద దాచేశాడు."""
"প্রত্যেক অমাবস্যায় নিশীথরাত্রে দেবীর পূজা সারিয়া সে একবার করিয়া সেই কাগজটি খুলিয়া দেখিত,যদি দেবী প্রসন্ন হইয়া তাহাকে অর্থবুঝিবার শক্তি দেন","प्रत्येक अमावस्या की अर्धरात्रि को देवी की पूजा करके एक बार वह उस काग़ज़ को खोलकर देखता, काश देवी प्रसन्न होकर उसको अर्थ समझने की शक्ति दे दें","ప్రతి అమావాస్య అర్ధరాత్రి దేవిని పూజించి, ఒక్కసారి ఆ కాగితం తీసి చూస్తుండేవాడు. దేవి ప్రసన్నమై, దాని అర్ధాన్ని గ్రహించే శక్తిని తనకు ప్రసాదించాలనే ఆశ ఉండేది"
"শংকর কিছুদিন হইতে হরিহরকে মিনতি করিতে লাগিল, “দাদা, আমাকে সেই কাগজটা একবার ভালো করিয়া দেখিতে দাও-না","कुछ दिन से शंकर हरिहर से विनती करने लगा था, “भैया, एक बार अच्छी तरह मुझे वह काग़ज़ देख लेने दो न!”","కొన్ని రోజులుగా శంకర్ హరిహర్‌ను వేడుకుంటూ ఉండేవాడు — 'అన్నా, ఒక్కసారైనా ఆ కాగితం నాకు బాగా చూడనివ్వు"
"হরিহর কহিল, “দূর পাগল, সে কাগজ কি আছে""","हरिहर ने कहा, “धत् पगले, वह काग़ज़ क्या अब धरा है""","హరిహర్ అన్నాడు, 'అయ్యో పిచ్చివాడా, ఆ కాగితం ఇప్పుడెక్కడ మిగిలింది!"
বেটা ভণ্ডসন্ন্যাসী কাগজে কতকগুলা হিজিবিজি কাটিয়া আমাকে ফাঁকি দিয়া গেল— আমি সে পুড়াইয়া ফেলিয়াছি,वह पाखंडी संन्यासी काग़ज़ में कुछ चीलबिलौआ बनाकर झाँसा दे गया था‒मैंने उसे जला डाला है,ఆ మాయగాడు సన్యాసి ఆ కాగితంలో ఏదో చెత్త చెదరాజి గీసి మోసం చేశాడు — నేను దాన్ని కాల్చేశాను.
শংকর চুপ করিয়া রহিল,शंकर चुप रह गया,శంకర్ మౌనంగా నిలిచిపోయాడు.
হঠাৎ একদিন শংকরকে ঘরে দেখিতে পাওয়া গেল না,सहसा एक दिन शंकर घर में दिखाई नहीं दिया,ఒక రోజు అకస్మాత్తుగా శంకర్ ఇంట్లో కనిపించలేదు
তাহার পর হইতে সে নিরদ্দেশ,उसके बाद से वह लापता रहा,ఆ తరువాత అతను తెలియకుండా పోయాడు
হরিহরের অন্য সমস্ত কাজকর্ম নষ্ট হইল— গুপ্ত ঐশ্বর্যের ধ্যান এক মুহূর্ত সে ছাড়িতে পারিল না,हरिहर का सारा काम-काज नष्ट हो गया‒गुप्त ऐश्वर्य का ध्यान वह क्षणभर के लिए भी न भूल सका,హరిహర్ సంతాన జీవితం మొత్తం బదలిపోయింది — ఆ గుప్తమైన ఐశ్వర్యం గురించిన ఆలోచనను ఆయన క్షణమాత్రానికి కూడా మర్చలేకపోయాడు
মৃত্যুকাল উপস্থিত হইলে সে তাহার বড়ো ছেলে শ্যামাপদকে এই সন্ন্যাসীদত্ত কাগজখানি দিয়া গেল,मृत्यु-काल आ पहुँचने पर संन्यासी के दिए हुए उस काग़ज़ को वह अपने बड़े लड़के श्यामपद को दे गया,"మరణ సమయం చేరినప్పుడు, ఆ సన్యాసి ఇచ్చిన ఆ కాగితం అతని పెద్ద కుమారుడు శ్యాంపద్‌కి ఇచ్చాడు."
এই কাগজ পাইয়া শ্যামাপদ চাকরি ছাড়িয়া দিল,यह काग़ज़ पाने पर श्यामापद ने नौकरी छोड़ दी,ఆ కాగితం పొందగానే శ్యాంపద్ ఉద్యోగాన్ని వదిలివేసాడు
