bn,hi,te,emotion_bn,emotion_hi,emotion_te,semantic_bn_hi,semantic_bn_te,semantic_hi_te
এই বলিয়া সে কুশলবের পাঁচালি আরম্ভ করিয়া দিল,यह कहकर उसने लव-कुश की पांचाली शुरू कर दी,ఇలా చెప్పి ఆయన లవ్-కుష్ పంచాలిని ప్రారంభించాడు.,2,2,0,0.8335305452346802,0.6816025376319885,0.8339096307754517
"বাঁশির মতো সুমিষ্ট পরিপূর্ণস্বরে দাশুরায়ের অনুপ্রাস ক্ষিপ্রবেগে বর্ষণ করিয়া চলিল ;দাঁড়ি মাঝি সকলেই দ্বারের কাছে আসিয়া ঝুঁকিয়া পড়িল; হাস্য করুণা এবং সংগীতে সেই নদীতীরের সন্ধ্যাকাশে এক অপূর্ব রসস্রোত প্রবাহিত হইতে লাগিল— দুই নিস্তব্ধ তটভূমি কুতুহলী হইয়া উঠিল, পাশ দিয়া যে-সকল নৌকা চলিতেছিল, তাহাদের আরোহীগণ ক্ষণকালের জন্য উৎকণ্ঠিত হইয়া সেই দিকে কান দিয়া রহিল; যখন শেষ হইয়া গেল সকলেই ব্যথিতচিত্তে দীর্ঘনিশ্বাস ফেলিয়া ভাবিল, ইহারই মধ্যে শেষ হইল কেন","बाँसुरी के समान सुमिष्ट उन्मुक्त स्वर पर आकर झुके पड़ रहे थे उस नदी-नीर के संध्याकाश में हास्य, करुणा एवं संगीत का एक अपूर्व रस-स्त्रोत प्रवाहित होने लगा दोनों निस्तब्ध किनारे कौतूहलपूर्ण हो उठे, पास से जो सारी नौकाएँ गुजर रही थीं उनमें बैठे लोग क्षण-भर के लिए उत्कंठित होकर उसी ओर कान लगाए रहे जब गीत समाप्त हो गया तो सभी ने व्यथित चित्त से लंबी साँस लेकर सोचा, इतनी जल्दी यह क्यों समाप्त हो गया","ఆ నది-నీటి సంధ్యా సమయంలో, చిరునవ్వు, కరుణ మరియు సంగీతం యొక్క సాటిలేని మూలం ప్రవహించడం ప్రారంభించింది. రెండు నిశ్శబ్ద తీరాలు ఆసక్తికరంగా మారాయి. అక్కడినుంచి వెళ్తున్న పడవలన్నీ, వాటిలో కూర్చున్న ప్రజలు, ఒక్క క్షణం ఆత్రుతగా ఎదురుచూస్తూ అవి వింటూనే ఉన్నారు. పాట పూర్తయినప్పుడు, అందరూ బాధతో కూడిన మనస్సుతో లోతైన ఊపిరి పీల్చుకున్నారు, అది ఇంత త్వరగా ఎందుకు ముగిసింది?",3,0,3,0.7217917442321777,0.6385290026664734,0.8235794305801392
"সজলনয়না অন্নপূর্ণার ইচ্ছা করিতে লাগিল, ছেলেটিকে কোলে বসাইয়া বক্ষে চাপিয়া তাহার মস্তক আঘ্রাণ করেন",सजल नयना अन्नपूर्णा की इच्छा हुई कि उस लड़के को गोद में बिठाकर छाती से लगाकर उसका माथा चूँम ले,"సజల్ నయనా అన్నపూర్ణా ఆ బాలుడిని తన ఒడిలో పెట్టి, అతని ఛాతీపై ఉంచి అతని తలపై ముద్దు పెట్టుకోవాలనుకుంది.",1,2,1,0.7528736591339111,0.6717602014541626,0.8587380647659302
"মতিলালবাবু ভাবিতে লাগিলেন, ‘এই ছেলেটিকে যদি কোনোমতে কাছে রাখিতে পারি তবে পুত্রের অভাব পূর্ণ হয়'","मतिलाल बाबू सोचने लगे, 'यदि इस लड़के को किसी प्रकार अपने पास रख सकूँ तो पुत्र का अभाव पूरा हो जाए'","మాటిలాల్ బాబు ఆలోచించాడు, 'నేను ఈ అబ్బాయిని ఎలాగైనా నాతో ఉంచగలిగితే, కొడుకు లేకపోవడం నెరవేరుతుంది'.",0,1,0,0.9268029928207397,0.8946775197982788,0.9246557354927063
কেবল ক্ষুদ্র বালিকা চারুশশীর অন্তঃকরণ ঈর্ষা ও বিদ্বেষে পরিপূর্ণ হইয়া উঠিল,केवल छोटी बालिका चारुशशि का अंतःकरण ईर्ष्या और विद्वेष से परिपूर्ण हो उठा,"ఆ చిన్నారి చారుషషి హృదయం మాత్రమే అసూయతో, దురుద్దేశంతో నిండిపోయింది",0,1,1,0.8916043043136597,0.7636085748672485,0.8454804420471191
"চারুশশী তাহার পিতামাতার একমাত্র সন্তান, তাঁহাদের পিতৃমাতৃস্নেহের একমাত্র অধিকারিণী",चारुशशि अपने माता-पिता की इकलौती संतान और उनके स्नेह की एकमात्र अधिकारिणी थी,ఆమె తల్లిదండ్రులకు ఏకైక సంతానం మరియు వారి ఆప్యాయతకు ఏకైక యజమాని చారుషషి.,0,0,0,0.8641564249992371,0.8321624398231506,0.8363646864891052
তাহার খেয়াল এবং জেদের অন্ত ছিল না,उसकी धुन और हठ की कोई सीमा न थी,"ఆయన ఉత్సాహానికి, ఉత్సాహానికి హద్దులు లేవు.",2,2,0,0.738574206829071,0.6182279586791992,0.683382511138916
"খাওয়া, কাপড় পরা, চুল বাঁধা সম্বন্ধে তাহার নিজের স্বাধীন মত ছিল, কিন্তু সে মতের কিছুমাত্র স্থিরতা ছিল না","खाने, पहनने, बाल बनाने के संबंध में उसका स्वतंत्र मत था; किंतु उसके मन में तनिक भी स्थिरता नहीं थी","తినడం, ధరించడం మరియు జుట్టు తయారు చేయడం గురించి ఆమెకు స్వేచ్ఛ ఉంది, కానీ ఆమెకు మానసిక స్థిరత్వం లేదు.",3,1,1,0.9247713088989258,0.7930032014846802,0.8257666826248169
"যেদিন কোথাও নিমন্ত্রণ থাকিত সেদিন তাহার মায়ের ভয় হইত, পাছে মেয়েটি সাজসজ্জা সম্বন্ধে একটা অসম্ভব জেদ ধরিয়া বসে",जिस दिन कहीं निमंत्रण होता उस दिन उसकी माँ को भय रहता कि कहीं लड़की साज-सिंगार को लेकर कोई असंभव जिद न कर बैठे,"ఎక్కడో ఒక చోట ఆహ్వానం వచ్చిన రోజున, అమ్మాయి వస్త్రధారణపై పట్టుబట్టడం అసాధ్యమని అతని తల్లి భయపడుతుంది.",3,3,3,0.8520728349685669,0.7999529838562012,0.8395224809646606
"যদি দৈবাৎ একবার চুল বাঁধাটা তাহার মনের মতো না হইল, তবে সেদিন যতবার চুল খুলিয়া যতরকম করিয়া বাঁধিয়া দেওয়া যাক্‌ কিছুতেই তাহার মন পাওয়া যাইবে না, অবশেষে মহা কান্নাকাটির পালা পড়িয়া যাইবে","यदि दैवात् कभी केश-बंधन उसके मन के अनुकूल न हुआ तो फिर उस दिन चाहे जितनी बार बाल खोलकर चाहे जितने प्रकार से बाँधे जाते, वह किसी तरह संतुष्ट न होती और अंत में रोना-धोना मच जाता","భగవంతుడు తన హృదయానికి ఎన్నడూ సరిపోకపోతే, ఆ రోజు తన జుట్టును ఎన్నిసార్లు విప్పినా, అతను సంతృప్తి చెందడు, చివరికి ఏడుపు, ఏడుపు ఉంటుంది.",1,1,1,0.8110072612762451,0.710594892501831,0.8071229457855225
সকল বিষয়েই এইরূপ,हर बात में यही दशा थी,ప్రతి విషయంలో అదే జరిగింది.,1,1,2,0.7700434923171997,0.5914645195007324,0.8075816631317139
আবার এক-এক সময় চিত্ত যখন প্রসন্ন থাকে তখন কিছুতেই তাহার কোনো আপত্তি থাকে না,पर कभी-कभी जब चित्त प्रसन्न रहता तो उसे किसी भी प्रकार की कोई आपत्ति न होती,"కానీ కొన్నిసార్లు మనస్సు సంతోషంగా ఉన్నప్పుడు, దానికి ఎలాంటి అభ్యంతరం ఉండదు.",1,0,0,0.7800519466400146,0.6305705308914185,0.8912558555603027
তখন সে অতিমাত্রায় ভালোবাসা প্রকাশ করিয়া তাহার মাকে জড়াইয়া ধরিয়া চুম্বন করিয়া হাসিয়া বকিয়া একেবারে অস্থির করিয়া তোলে,उस समय वह प्रचुर मात्रा में स्नेह प्रकट करके अपनी माँ से लिपटकर चूमकर हँसती हुई करते-करते उसे एकदम परेशान कर डालती,"ఆ సమయంలో, ఆమె అపారమైన ఆప్యాయతను చూపించి, తన తల్లిని కౌగిలించుకుని, ముద్దుపెట్టుకుని, నవ్వించింది.",0,0,0,0.8963984251022339,0.8266900777816772,0.9115821123123169
এই ক্ষুদ্র মেয়েটি একটি দুর্ভেদ্য প্রহেলিকা,यह छोटी बालिका एक दुर्भेंद्य पहेली थी,ఈ చిన్న అమ్మాయి ఒక బలీయమైన పజిల్.,0,0,0,0.86781245470047,0.7803123593330383,0.8058362603187561
এই বালিকা তাহার দুর্বাধ্য হৃদয়ের সমস্ত বেগ প্রয়োগ করিয়া মনে মনে তারাপদকে সুতীব্র বিদ্বেষে তাড়না করিতে লাগিল,यह बालिका अपने दुर्बोध्य हृदय के पूरे वेग का प्रयोग करके मन-ही-मन विषम ईर्ष्या से तारापद का निरादर करने लगी,"ఈ అమ్మాయి, తన అస్పష్టమైన హృదయం యొక్క పూర్తి శక్తిని ఉపయోగించి, మనసును కదిలించే అసూయతో తారాపదను అగౌరవపరచడం ప్రారంభించింది.",1,1,0,0.8663454055786133,0.7917401194572449,0.884299635887146
পিতামাতাকেও সর্বতোভাবে উদ্‍‍বেজিত করিয়া তুলিল,माता-पिता को भी पूरी तरह से उद्विग्न कर डाला,దీంతో తల్లిదండ్రులు కూడా అవాక్కయ్యారు.,0,2,1,0.8700929880142212,0.6490164995193481,0.7517344951629639
"আহারের সময় রোদনোন্মুখী হইয়া ভোজনের পাত্র ঠেলিয়া ফেলিয়া দেয়, রন্ধন তাহার রুচিকর বোধ হয় না, দাসীকে মারে, সকল বিষয়েই অকারণ অভিযোগ করিতে থাকে,","भोजन के समय रोदनोन्मुखी होकर भोजन के पात्र को ठेलकर फेंक देती, खाना उसको रुचिकर नहीं लगता; नौकरानी को मारती, सभी बातों में अकारण शिकायत करती रहती,","తినే సమయంలో, ఆమె ఏడుస్తూ ఆహార పాత్రను విసిరేసేది, ఆమెకు తినడం ఇష్టం ఉండేది కాదు; ఆమె పనిమనిషిని కొట్టేది, ప్రతిదానిలో అనవసరంగా ఫిర్యాదు చేసేది.",1,2,1,0.8481963276863098,0.7206697463989258,0.8365811705589294
"তারাপদর বিদ্যাগুলি যতই তাহার এবং অন্য সকলের মনোরঞ্জন করিতে লাগিল, ততই যেন তাহার রাগ বাড়িয়া উঠিল","जैसे-जैसे तारापद की विद्याएँ उसका एवं अन्य सबका मनोरंजन करने लगीं, वैसे-ही-वैसे मानो उसका क्रोध बढ़ने लगा","తారాపద బోధనలు అతన్ని మరియు ఇతరులను సంతోషపెట్టడంతో, అతని కోపం పెరిగింది.",2,2,3,0.92141193151474,0.7899395227432251,0.7873539924621582
"তারাপদর যে কোনো গুণ আছে ইহা স্বীকার করিতে তাহার মন বিমুখ হইল, অথচ তাহার প্রমাণ যখন প্রবল হইতে লাগিল, তাহার অসন্তোষের মাত্রাও উচ্চে উঠিল","तारापद में कोई गुण है, इसे उसका मन स्वीकार करने से विमुख रहता और उसका प्रमाण जब प्रबल होने लगा तो उसके असंतोष की मात्रा भी बढ़ गई","తారాపదంలో కొంత గుణం ఉంది, దానిని అంగీకరించడానికి అతని మనస్సు విముఖంగా ఉంది, మరియు దాని సాక్ష్యం ప్రబలంగా ప్రారంభమైనప్పుడు, అతని అసంతృప్తి కూడా పెరిగింది.",1,2,3,0.7575898170471191,0.7530052661895752,0.8076176643371582
"তারাপদ যেদিন কুশলবের গান করিল সেদিন অন্নপূর্ণা মনে করিলেন, ‘সংগীতে বনের পশু বশ হয়, আজ বোধ হয় আমার মেয়ের মন গলিয়াছে'","तारापद ने जिस दिन लव-कुश का गीत सुनाया उस दिन अन्नपूर्णा ने सोचा, संगीत से वन के पशु तक वश में आ जाते हैं, आज शायद मेरी लड़की का मन पिघल गया है'","తారాపద లవ్-కుష్ పాటను వివరించిన రోజు, అన్నపూర్ణా ఆలోచించింది, సంగీతం నుండి అటవీ జంతువుల వరకు లొంగదీసుకోబడతాయి, ఈ రోజు బహుశా నా అమ్మాయి మనస్సు కరిగిపోయింది.",1,1,3,0.8450424671173096,0.7061823606491089,0.8958085179328918
"তাহাকে জিজ্ঞাসা করিলেন, “চারু, কেমন লাগল""","उससे पूछा, ‘‘चारु, कैसा लगा""","అతను అడిగాడు, ""మీకు ఎలా ఉంది?",3,0,0,0.979408860206604,0.8022348284721375,0.8077647686004639
সে কোনো উত্তর না দিয়ে অত্যন্ত প্রবলবেগে মাথা নাড়িয়া দিল,उसने कोई उत्तर दिए बिना बड़े जोर से सिर हिला दिया,సమాధానం చెప్పకుండానే తల ఊపాడు.,2,2,3,0.9140468835830688,0.7149645090103149,0.6963713765144348
"এই ভঙ্গিটিকে ভাষায় তর্জমা করিলে এইরূপ দাঁড়ায়, কিছুমাত্র ভালো লাগে নাই এবং কোনোকালে ভালো লাগিবে না","भाषा में इस मुद्रा का तरजुमा करने पर यह रूप होता–जरा भी अच्छा नहीं लगा, और न कभी अच्छा लगेगा","ఈ ముద్రను ఈ భాషలో అనువదించడం ఈ రూపంగా ఉండేది-అస్సలు మంచిది కాదు, అది ఎప్పటికీ మంచిది కాదు.",1,1,1,0.8540247678756714,0.6839739084243774,0.8073601722717285
চারুর মনে ঈর্ষার উদয় হইয়াছে বুঝিয়া তাহার মাতা চারুর সম্মুখে তারাপদর প্রতি স্নেহ প্রকাশ করিতে বিরত হইলেন,"चारु के मन में ईर्ष्या का उदय हुआ है, यह समझकर उसकी माँ ने चारु के सामने तारापद के प्रति स्नेह प्रकट करना कम कर दिया",చారు మనస్సులో అసూయ పెరిగిందని గ్రహించిన ఆమె తల్లి చారు ముందు తారాపద పట్ల ఆప్యాయత చూపడం మానేసింది.,1,2,3,0.8807268738746643,0.8543396592140198,0.7677607536315918
সন্ধ্যার পরে যখন সকাল-সকাল খাইয়া চারু শয়ন করিত তখন অন্নপূর্ণা নৌকাকক্ষের দ্বারের নিকট আসিয়া বসিতেন এবং মতিবাবু ও তারাপদ বাহিরে বসিত এবং অন্নপূর্ণার অনুরোধে তারাপদ গান আরম্ভ করিত;,संध्या के बाद जब चारु जल्दी-जल्दी खाकर सो जाती तब अन्नपूर्णा नौका-कक्ष के दरवाजे के पास आकर बैठतीं और मति बाबू और तारापद बाहर बैठते अन्नपूर्णा के अनुरोध पर तारापद गाना शुरू करता,"సాయంత్రం తరువాత, చారు త్వరగా భోజనం చేసి నిద్రపోతున్నప్పుడు, అన్నపూర్ణా వచ్చి పడవ గది తలుపు దగ్గర కూర్చుంటుంది మరియు మాటి బాబు మరియు తారాపద బయట కూర్చుని అన్నపూర్ణా అభ్యర్థన మేరకు తారాపద పాడటం ప్రారంభిస్తారు.",0,0,3,0.8789898157119751,0.8707958459854126,0.9420987963676453
"তাহার গানে যখন নদীতীরের বিশ্রামনিরতা গ্রামশ্রী সন্ধ্যার বিপুল অন্ধকারে মুগ্ধ নিস্তব্ধ হইয়া রহিত এবং অন্নপূর্ণার কোমল হৃদয়খানি স্নেহে ও সৌন্দর্যরসে উচ্ছলিত হইতে থাকিত তখন হঠাৎ চারু দ্রুতপদে বিছানা হইতে উঠিয়া আসিয়া সরোষ-সরোদনে বলিত, “মা, তোমারা কী গোল করছ, আমার ঘুম হচ্ছে না""","उसके गाने से जब नदी के किनारे की विश्रामनिरता ग्राम-श्री संध्या के विपुल अंधकार में मुग्ध निस्तब्ध हो जाती और अन्नपूर्णा का कोमल हृदय स्नेह और सौंदर्य-रस से छलकने लग जाता तब सहसा चारु बिछौने से उठकर तेजी से आकर सरोष रोती हुई कहती, ‘‘माँ, तुमने यह क्या शोर मचा रखा है! मुझे नींद नहीं आती""","ఆమె పాట ద్వారా శ్రీ సంధ్యా గ్రామం యొక్క సమృద్ధిగా ఉన్న చీకటిలో నది ఒడ్డున ఉన్న ప్రశాంతత మరియు అన్నపూర్ణా యొక్క సున్నితమైన హృదయం ఆప్యాయత మరియు అందంతో నిండిపోవడం ప్రారంభించినప్పుడు, అకస్మాత్తుగా చారు మంచం నుండి లేచి వేగంగా వచ్చి, ""తల్లి, మీరు ఎంత శబ్దం చేసారు! నాకు నిద్ర పట్టడం లేదు.",0,1,0,0.8473725318908691,0.8142781257629395,0.8960820436477661
পিতামাতা তাহাকে একলা ঘুমাইতে পাঠাইয়া তারাপদকে ঘিরিয়া সংগীত উপভোগ করিতেছেন ইহা তাহার একান্ত অসহ্য হইয়া উঠিত,"माता-पिता उसको अकेला सुलाकर तारापद को घेरकर संगीत का आनंद ले रहे हैं, यह उसे एकदम असह्य हो उठता","తల్లిదండ్రులు అతన్ని ఒంటరిగా నిద్రపోయేలా చేసి తారాపడ్ చుట్టూ సంగీతాన్ని ఆస్వాదిస్తున్నారు, అది అతనికి చాలా భరించలేనిదిగా మారుతుంది.",1,0,3,0.837030827999115,0.7868341207504272,0.8848217725753784
এই দীপ্তকৃষ্ণনয়না বালিকার স্বাভাবিক সুতীব্রতা তারাপদর নিকটে অত্যন্ত কৌতুকজনক বোধ হইত,इस दीप्त कृष्णनयना बालिका की स्वाभाविक उग्रता तारापद को बड़ी मनोरंजक प्रतीत होती,ఈ దీప్తి కృష్ణనాయన అమ్మాయి సహజ ఉగ్రత తారాపదకు చాలా వినోదభరితంగా అనిపించింది.,3,0,0,0.8096855878829956,0.816912055015564,0.8675154447555542
"সে ইহাকে গল্প শুনাইয়া, গান গাহিয়া, বাঁশি বাজাইয়া, বশ করিতে অনেক চেষ্টা করিল কিন্তু কিছুতেই কৃতকার্য হইল না","उसने इसे कहानी सुनाकर, गाना गाकर, वंशी बजाकर वश में करने की बहुत चेष्टा की; किंतु किसी भी प्रकार सफल नहीं हुआ","అతను కథలు చెప్పడం, పాటలు పాడటం, వేణువులు వాయించడం ద్వారా దానిని నియంత్రించడానికి ప్రయత్నించాడు; కానీ అతను ఏ విధంగానూ విజయవంతం కాలేదు.",1,1,1,0.8959249258041382,0.8131167888641357,0.8519065976142883
"কেবল তারাপদ মধ্যাহ্নে যখন নদীতে স্নান করিতে নামিত,","केवल जब मध्याह्न में तारापद नदी में स्नाने करने उतरता,","మధ్యాహ్నం సమయంలో తారాపద నదిలో స్నానం చేయడానికి దిగుతున్నప్పుడు మాత్రమే,",3,1,3,0.8853781819343567,0.8480111360549927,0.9321939945220947
"পরিপূর্ণ জলরাশির মধ্যে গৌরবর্ণ সরল তনু দেহখানি নানা সন্তরণভঙ্গিতে অবলীলাক্রমে সঞ্চালন করিয়া তরুণ জলদেবতার মতো শোভা পাইত,","परिपूर्ण जलराशि में अपनी गौरवर्ण सरल कमनीय देह को तैरने की अनेक प्रकार की क्रीड़ाओं में संचालित करता, तरुण जल-देवता के समान शोभा पाता,","పరిపూర్ణమైన నీటిలో, అతను తన బంగారు, సరళమైన, మనోహరమైన శరీరాన్ని అనేక రకాల ఈత ఆటలలో నిర్వహిస్తాడు, మరియు ఆ యువకుడు నీటి దేవుడిలా కనిపిస్తాడు.",0,0,0,0.812934398651123,0.6010924577713013,0.7648727893829346
তখন বালিকার কৌতুহল আকৃষ্ট না হইয়া থাকিত না; সে সেই সময়টির জন্য প্রতীক্ষা করিয়া থাকিত;,तब बालिका का कौतूबल आकर्षित हुए बिना न रहता वह इसी समय की प्रतीक्षा करती रहती;,"అప్పుడు అమ్మాయి ఉత్సుకత ఆకర్షించబడలేదు, ఆమె ఈ సమయం కోసం వేచి ఉండేది;",1,3,1,0.9208587408065796,0.9347262978553772,0.8933385610580444
"কিন্তু আন্তরিক আগ্রহ কাহাকেও জানিতে দিত না, এবং এই অশিক্ষাপটু অভিনেত্রী পশমের গলাবন্ধ বোনা একমনে অভ্যাস করিতে করিতে মাঝে মাঝে যেন অত্যন্ত উপেক্ষাভরে কটাক্ষে তারাপদর সন্তরণলীলা দেখিয়া লইত","किंतु आंतरिक इच्छा का किसी को भी पता न चलने देती, और यह अशिक्षापटु, अभिनेत्री ध्यानपूर्वक ऊनी गुलूबंद बुनने का अभ्यास करती हुई बीच-बीच में मानो अत्यंत उपेक्षा-भरी दृष्टि से तारापद की संतरण-लीला देखा करती","కానీ ఆమె తన అంతర్గత కోరికను ఎవరికీ తెలియజేయలేదు, మరియు ఈ నిరక్షరాస్య నటి ఉన్ని గులూబంద్ అల్లడం జాగ్రత్తగా అభ్యసిస్తుంది మరియు అప్పుడప్పుడు తారాపద యొక్క తంత్రన్ లీలను చాలా మరపురాని కన్నుతో చూస్తుంది.",1,1,3,0.764694094657898,0.6602516174316406,0.745587944984436
নন্দীগ্রাম কখন ছাড়াইয়া গেল তারাপদ তাহার খোঁজ লইল না,"नंदीग्राम कब छूट गया, तारापद को पता न चला",నందిగ్రామ్ ఎప్పుడు మిగిలిందో తారాపదకు తెలియదు,1,1,1,0.8374383449554443,0.6990654468536377,0.8064426183700562
"অত্যন্ত মৃদুমন্দ গতিতে বৃহৎ নৌকাখানা কখনো পাল তুলিয়া, কখনো গুণ টানিয়া, নানা নদীর শাখাপ্রশাখার ভিতর দিয়া চলিতে লাগিল;","विशाल नौका अत्यंत मृदु-मंद गति से कभी पाल तानकर, कभी रस्सी खींचकर अनेक नदियों की शाखा-प्रशाखाओं में होकर चलने लगी;","భారీ పడవ చాలా నెమ్మదిగా కదిలింది, కొన్నిసార్లు తెరచాపలను లాగుతుంది, కొన్నిసార్లు తాడును లాగుతుంది, అనేక నదుల కొమ్మల గుండా వెళుతుంది.",3,3,3,0.9468274712562561,0.8290597200393677,0.8836615085601807
নৌকারোহীদের দিনগুলিও এই-সকল নদী-উপনদীর মতো শান্তিময় সৌন্দর্যময় বৈচিত্র্যের মধ্য দিয়া সহজ সৌম্য গমনে মৃদুমিষ্ট কলস্বরে প্রবাহিত হইতে লাগিল,"नौकारोहियों के दिन भी इन सब नदी-उपनदियों के समान, शांति-सौंदर्यपूर्ण वैचित्र्य के बीच सहज सौम्य गति से मृदुमिष्ट कल-स्वर में प्रवाहित होने लगे","నావికుల రోజులు, ఈ నదులు మరియు ప్రవాహాల మాదిరిగానే, శాంతి మరియు అందం యొక్క అందం మధ్య సున్నితమైన సున్నితమైన లయలో ప్రవహించాయి.",0,0,0,0.8783257007598877,0.7889527678489685,0.8249474763870239
"কাহারো কোনোরূপ তাড়া ছিল না; মধ্যাহ্নে স্নানাহারে অনেকক্ষণ বিলম্ব হইত; এ দিকে, সন্ধ্যা হইতে না হইতেই একটা বড়ো দেখিয়া গ্রামের ধারে, ঘাটের কাছে, ঝিল্লিমন্দ্রিত খদ্যোতখচিত বনের পার্শ্বে নৌকা বাঁধিত","किसी को किसी प्रकार की जल्दी नहीं थी; दोपहर को स्नानाहार में बहुत समय व्यतीत होती; और इधर संध्या होते न होते बड़े दिखने वाले किसी गाँव के किनारे, घाट के समीप, झिल्लीमंद्रित खद्योतखचित वन के पास नौका बाँध दी जाती","ఎవరూ ఆతురుతలో లేరు; మధ్యాహ్నం చాలా సమయం స్నానం చేస్తూ గడిపారు; సాయంత్రం వరకు పడవ ఒక పెద్ద గ్రామం అంచున, ఒక ఘాట్ సమీపంలో, నురుగు అడవికి సమీపంలో లంగరు వేయబడలేదు.",3,1,3,0.8704352378845215,0.7898457050323486,0.8748903870582581
এমনি করিয়া দিনদশেকে নৌকা কাঁঠালিয়ায় পৌঁছিল,इस प्रकार दसेक दिन में नौका काँठालिया पहुँची,ఆ విధంగా పడవ పది రోజుల్లో కాంతాలియా చేరుకుంది.,3,3,1,0.8130220770835876,0.6954677104949951,0.9004021883010864
জমিদারের আগমনে বাড়ি হইতে পালকি এবং টাটুঘোড়ার সমাগম হইল এবং বাঁশের লাঠি হস্তে পাইক-বরকন্দাজের দল ঘন ঘন বন্দুকের ফাঁকা আওয়াজে গ্রামের উৎকণ্ঠিত কাকসমাজকে যৎপরোনাস্তি মুখর করিয়া তুলিল,"जमींदार के आगमन से घर से पालकी और टट्टू-घोड़ों का समागम हुआ, और हाथ में बाँस की लाठी धारण किए सिपाही-चौकीदारों के दल ने बार-बार बंदूक की खाली आवाज से गाँव के उत्कंठित काक समाज को ‘यत्परोनास्ति’ मुखर कर दिया","ఈ వేడుకలన్నింటికీ సమయం పట్టింది, ఇంతలో తారాపద త్వరగా పడవ నుండి దిగి గ్రామం మొత్తాన్ని ఒకసారి చుట్టుముట్టాడు.",0,0,0,0.9010973572731018,0.3979005217552185,0.4744579792022705
"এই-সমস্ত সমারোহে কালবিলম্ব হইতেছে, ইতিমধ্যে তারাপদ নৌকা হইতে দ্রুত নামিয়া একবার সমস্ত গ্রাম পর্যটন করিয়া লইল","इस सारे समारोह में समय लगा, इस बीच में तारापद ने तेजी से नौका से उतरकर एक बार सारे गाँव का चक्कर लगा डाला","ఈ వేడుకలన్నింటికీ సమయం పట్టింది, ఇంతలో తారాపద త్వరగా పడవ నుండి దిగి గ్రామం మొత్తాన్ని ఒకసారి చుట్టుముట్టాడు.",3,3,0,0.6963183283805847,0.6786688566207886,0.8704447746276855
"কাহাকেও দাদা, কাহাকেও খুড়া, কাহাকেও দিদি, কাহাকেও মাসি বলিয়া দুই-তিন ঘণ্টার মধ্যে সমস্ত গ্রামের সহিত সৌহার্দ্য-বন্ধন স্থাপিত করিয়া লইল","किसी को दादा, किसी को काका, किसी को दीदी, किसी को मौसी कहकर दो-तीन घंटे में सारे गाँव के साथ सौहार्द्र बंधन स्थापित कर लिया","ఎవరినైనా దాదా అని, ఎవరినైనా కాకా అని, ఎవరినైనా దీదీ అని, ఎవరినైనా మౌసీ అని పిలవడం ద్వారా రెండు-మూడు గంటల్లో మొత్తం గ్రామంతో స్నేహపూర్వక బంధం ఏర్పడింది.",0,0,1,0.8624464273452759,0.7013274431228638,0.8072665929794312
কোথাও তাহার প্রকৃত কোনো বন্ধন ছিল না বলিয়াই তারাপদ দেখিতে দেখিতে অল্পদিনের মধ্যেই গ্রামের সমস্ত হৃদয় অধিকার করিয়া লইল,"कहीं भी उसके लिए स्वभावतः कोई बंधन नहीं था, इससे तारापद ने देखते-देखते थोड़े दिनों में ही गाँव के समस्त हृदयों पर अधिकार कर लिया","ఆయనకు ఎక్కడా సహజ బంధం లేదు, దీని కారణంగా తారాపద కొన్ని రోజుల్లో గ్రామంలోని అందరి హృదయాలను గెలుచుకున్నాడు.",1,1,1,0.7995273470878601,0.7364082336425781,0.8100640773773193
"এত সহজে হৃদয় হরণ করিবার কারণ এই, তারাপদ সকলেরই সঙ্গে তাহাদের নিজের মতো হইয়া স্বভাবতই যোগ দিতে পারিত",इतनी आसानी से हृदय-हरण करने का कारण यह था कि तारापद हरेक के साथ उसका अपना बनकर स्वाभाविक रूप से योग दे सकता था,ఆయన అంత తేలికగా హృదయాలను దొంగిలించడానికి కారణం తారాపద సహజంగానే తనంతట తానుగా అందరితో యోగా చేయగలడు,0,0,0,0.8120941519737244,0.7404811978340149,0.7928614616394043
"সে কোনোপ্রকার বিশেষ সংস্কারের দ্বারা বদ্ধ ছিল না, অথচ সকল অবস্থা, সকল কাজের প্রতিই তাহার একপ্রকার সহজ প্রবণতা ছিল","वह किसी भी प्रकार के विशेष संस्कारों के द्वारा बँधा हुआ नहीं था, अतएव सभी अवस्थाओं में और सभी कामों में उसमें एक प्रकार की सहज प्रवीणता थी","అతను ఏ ప్రత్యేక ఆచారాలకు కట్టుబడి ఉండడు, కాబట్టి అన్ని పరిస్థితులలో మరియు అన్ని చర్యలలో అతనిలో ఒక రకమైన సహజ నైపుణ్యం ఉండేది.",0,0,0,0.7936500310897827,0.7148277759552002,0.8891128301620483
